sample_id,species,population,fastq_1,fastq_2
potosi2,dbog,potosi2,/data/analysis/250306-jcarpinteyro-drosophila/seqdata/dnaseq/dbog/potosi2_1.fastq.gz,/data/analysis/250306-jcarpinteyro-drosophila/seqdata/dnaseq/dbog/potosi2_2.fastq.gz
flag14,dpse,flag14,/data/analysis/250306-jcarpinteyro-drosophila/seqdata/dnaseq/dpse/flag14.fastq.gz,
